File,Lines (% total),Code Lines,% Code,Comment Lines,% Comment,Blank Lines,% Blank
src/main/java/com/github/jojo2357/Main.java,59 (5.8%),45,76.3%,10,16.9%,4,6.8%
src/main/java/com/github/jojo2357/events/EventManager.java,107 (10.6%),85,79.4%,10,9.3%,12,11.2%
src/main/java/com/github/jojo2357/events/EventPriorities.java,13 (1.3%),10,76.9%,0,0.0%,3,23.1%
src/main/java/com/github/jojo2357/events/EventTypes.java,25 (2.5%),19,76.0%,0,0.0%,6,24.0%
src/main/java/com/github/jojo2357/events/GameTimes.java,9 (0.9%),8,88.9%,0,0.0%,1,11.1%
src/main/java/com/github/jojo2357/events/EventBase.java,21 (2.1%),15,71.4%,0,0.0%,6,28.6%
src/main/java/com/github/jojo2357/events/events/MouseInputEvent.java,82 (8.1%),64,78.0%,1,1.2%,17,20.7%
src/main/java/com/github/jojo2357/events/events/TickEvent.java,24 (2.4%),19,79.2%,0,0.0%,5,20.8%
src/main/java/com/github/jojo2357/events/events/RenderEvent.java,15 (1.5%),12,80.0%,0,0.0%,3,20.0%
src/main/java/com/github/jojo2357/rendering/ScreenManager.java,236 (23.3%),192,81.4%,8,3.4%,36,15.3%
src/main/java/com/github/jojo2357/rendering/RenderableObject.java,50 (4.9%),41,82.0%,0,0.0%,9,18.0%
src/main/java/com/github/jojo2357/rendering/IRecievesEvent.java,38 (3.8%),30,78.9%,0,0.0%,8,21.1%
src/main/java/com/github/jojo2357/rendering/typeface/JojoFont.java,47 (4.6%),40,85.1%,0,0.0%,7,14.9%
src/main/java/com/github/jojo2357/rendering/typeface/Colors.java,21 (2.1%),18,85.7%,0,0.0%,3,14.3%
src/main/java/com/github/jojo2357/rendering/typeface/TextRenderer.java,52 (5.1%),48,92.3%,1,1.9%,3,5.8%
src/main/java/com/github/jojo2357/rendering/typeface/FontCharacter.java,27 (2.7%),21,77.8%,0,0.0%,6,22.2%
src/main/java/com/github/jojo2357/util/Point.java,102 (10.1%),80,78.4%,0,0.0%,22,21.6%
src/main/java/com/github/jojo2357/util/Texture.java,56 (5.5%),43,76.8%,0,0.0%,13,23.2%
src/main/java/com/github/jojo2357/util/Dimensions.java,28 (2.8%),21,75.0%,0,0.0%,7,25.0%
Total,1012,811,,30,,171,
